id,duration,blue_gold,red_gold,gold_diff,blue_xp,red_xp,xp_diff,blue_ward_placed,red_ward_placed,ward_placed_diff,blue_ward_destroyed,red_ward_destroyed,ward_destroyed_diff,first_blood,blue_kills,red_kills,kill_diff,first_turret,blue_turrets,red_turrets,turret_diff,first_inhibitor,blue_inhibitors,red_inhibitors,inhibitor_diff,first_herald,blue_heralds,red_heralds,herald_diff,first_baron,blue_barons,red_barons,baron_diff,blue_air,red_air,air_diff,blue_hextech,red_hextech,hextech_diff,blue_fire,red_fire,fire_diff,blue_earth,red_earth,earth_diff,blue_water,red_water,water_diff,air,hextech,fire,earth,water,blue_win
5898702434,2312583,55432,52349,3083,66695,63891,2804,32,53,-21,8,3,5,1,38,28,10,1,6,3,3,0,0,0,0,-1,0,1,-1,-1,0,1,-1,0,0,0,1,0,1,0,0,0,0,1,-1,1,0,1,0,0,0,0,0,1
5896486641,2502305,48261,54857,-6596,60605,67556,-6951,71,34,37,44,10,34,-1,12,24,-12,-1,4,8,-4,-1,0,2,-2,1,1,0,1,-1,0,1,-1,0,0,0,0,1,-1,0,0,0,1,1,0,0,1,-1,0,0,0,0,0,0
5896359264,2196918,57659,56305,1354,72538,69957,2581,34,53,-19,1,30,-29,-1,33,32,1,1,6,7,-1,1,1,1,0,1,2,0,2,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1
5893091755,2486648,53996,55298,-1302,63693,67377,-3684,50,36,14,4,8,-4,-1,33,27,6,-1,7,3,4,1,1,0,1,1,2,0,2,-1,0,1,-1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,-1,0,0,0,0,0,0
5891600910,2096589,47177,59790,-12613,57229,66471,-9242,44,48,-4,2,4,-2,1,26,35,-9,-1,2,8,-6,-1,0,2,-2,1,1,0,1,0,0,0,0,1,1,0,0,1,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
5902121041,2335313,51888,58119,-6231,60679,70929,-10250,60,57,3,15,24,-9,1,22,30,-8,-1,3,9,-6,-1,0,2,-2,-1,0,1,-1,-1,0,1,-1,0,0,0,0,0,0,1,0,1,0,1,-1,0,2,-2,0,0,0,0,0,0
5901067855,2314618,53672,54721,-1049,66928,64540,2388,58,55,3,10,7,3,-1,26,27,-1,-1,4,6,-2,0,0,0,0,-1,0,2,-2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,1,0,1,0,0,0,1,0,0
5899052114,2312584,49145,55718,-6573,59362,67234,-7872,67,59,8,24,22,2,1,13,27,-14,-1,4,5,-1,0,0,0,0,1,2,0,2,0,0,0,0,0,3,-3,0,0,0,0,0,0,0,1,-1,1,0,1,-1,0,0,0,0,0
5893930277,2067401,47222,62794,-15572,58393,72205,-13812,45,56,-11,15,13,2,-1,15,48,-33,1,4,7,-3,0,0,0,0,-1,0,2,-2,-1,0,1,-1,0,2,-2,0,1,-1,0,0,0,0,1,-1,0,0,0,-1,0,0,0,0,0
5893988410,1852947,53152,62487,-9335,64753,74221,-9468,112,57,55,13,18,-5,-1,26,38,-12,1,3,7,-4,-1,0,1,-1,1,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,-1,1,0,1,0,0,0,0,0,0
5892713675,3220853,50370,49928,442,63919,61233,2686,56,60,-4,10,15,-5,1,18,20,-2,1,4,3,1,0,0,0,0,1,1,1,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
5892702740,1836066,49333,62227,-12894,58832,68989,-10157,36,56,-20,8,14,-6,1,20,36,-16,-1,2,10,-8,-1,0,3,-3,-1,0,1,-1,-1,0,2,-2,0,0,0,0,0,0,0,2,-2,0,1,-1,0,1,-1,0,0,-1,0,0,0
5892710699,1903148,54459,66053,-11594,67421,76873,-9452,62,53,9,16,58,-42,-1,29,50,-21,-1,2,9,-7,-1,0,3,-3,1,1,0,1,-1,0,1,-1,1,0,1,0,0,0,0,2,-2,0,0,0,0,1,-1,0,0,0,0,0,0
5890699770,2168091,57083,53052,4031,66370,66772,-402,58,109,-51,16,14,2,-1,35,32,3,1,6,1,5,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5890580573,2217577,51130,52154,-1024,60578,62775,-2197,55,123,-68,28,20,8,1,24,31,-7,1,3,4,-1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,-1,0,0,0,0,0,0
5890464093,2226617,55402,56573,-1171,68344,68262,82,53,56,-3,12,16,-4,-1,28,32,-4,-1,3,5,-2,0,0,0,0,1,2,0,2,0,0,0,0,0,1,-1,0,0,0,0,1,-1,2,0,2,0,0,0,0,0,0,0,0,0
5899065605,2144127,55425,55621,-196,68140,64523,3617,49,50,-1,4,2,2,-1,24,35,-11,-1,6,8,-2,0,0,0,0,-1,0,1,-1,0,0,0,0,0,1,-1,1,2,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
5902552165,2740115,55044,52031,3013,63366,63603,-237,51,41,10,8,8,0,1,36,27,9,1,7,4,3,1,1,0,1,1,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,-1,1,0,1,0,0,0,0,0,1
5891274865,2005861,60220,49602,10618,72046,61338,10708,50,56,-6,23,15,8,1,38,22,16,-1,5,3,2,0,0,0,0,1,1,1,0,1,1,0,1,3,0,3,0,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1
5899093160,2528400,59000,53775,5225,64104,57225,6879,58,61,-3,27,25,2,-1,48,28,20,1,4,3,1,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,1,-1,0,0,0,0,0,0,0,0,1
5897369742,2261347,53079,55791,-2712,62824,64375,-1551,98,43,55,18,20,-2,1,26,33,-7,1,4,8,-4,-1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0
5897357473,1895835,53696,59331,-5635,64533,69865,-5332,56,51,5,4,18,-14,-1,30,34,-4,-1,3,5,-2,-1,0,2,-2,1,1,1,0,-1,0,1,-1,0,3,-3,1,0,1,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0
5896961251,2159901,52979,58988,-6009,66133,72819,-6686,55,62,-7,18,20,-2,-1,26,24,2,1,3,5,-2,0,0,0,0,-1,0,1,-1,-1,0,1,-1,1,0,1,0,0,0,0,2,-2,0,0,0,1,0,1,0,0,0,0,0,0
5896823950,1990152,53981,53724,257,62807,64423,-1616,65,31,34,8,25,-17,1,27,29,-2,1,5,2,3,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
5896762338,2653335,54688,55507,-819,60668,67648,-6980,59,47,12,7,16,-9,1,31,28,3,1,5,4,1,0,0,0,0,1,2,0,2,-1,0,1,-1,0,1,-1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
5896349781,1888502,68302,55729,12573,77368,70421,6947,58,35,23,13,9,4,-1,56,34,22,1,11,0,11,1,4,0,4,1,1,0,1,1,1,0,1,2,0,2,0,0,0,0,1,-1,1,0,1,0,0,0,0,0,0,0,0,1
5896093762,2777185,49636,53280,-3644,59904,66033,-6129,127,56,71,8,18,-10,1,23,29,-6,1,4,5,-1,0,0,0,0,1,1,1,0,0,0,0,0,1,2,-1,0,0,0,0,1,-1,0,1,-1,0,0,0,-1,0,0,0,0,0
5896018754,1889027,53458,52492,966,64293,61734,2559,62,50,12,13,14,-1,1,23,21,2,1,6,5,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
